id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Street Prism,Kade Morris,hip-hop,confident,0.78,95,0.68,0.84,0.12
12,Slow Burn,Velvet Jones,r&b,romantic,0.52,88,0.75,0.76,0.38
13,Empty Fields,The Pine Chorus,folk,melancholic,0.30,84,0.35,0.42,0.88
14,Glass Teeth,Ironside,rock,moody,0.72,128,0.38,0.60,0.15
15,Deep Water,Orbit Bloom,ambient,peaceful,0.18,55,0.70,0.32,0.95
16,Late Set,Blue Harbor,jazz,uplifting,0.58,105,0.82,0.68,0.74
17,Neon Surge,Static Prism,synthwave,euphoric,0.84,122,0.88,0.86,0.08
18,Golden Static,Indigo Parade,indie pop,nostalgic,0.60,112,0.67,0.70,0.48
19,Bright Side Drive,Neon Echo,pop,uplifting,0.71,115,0.90,0.85,0.10
20,Soft Focus,LoRoom,lofi,emotional,0.33,74,0.44,0.55,0.80
